,ShirtNumber,PlayerName,Team,Sucessful,Errors,Attempts,AveragePerMatch,Success%,TotalAttempts
81,2,Savelkoel Fleur,NED,0,0,0,,,0
82,8,Korevaar Demi,NED,0,0,0,,,0
83,9,Schoot Myrthe,NED,0,1,109,0.0,0.0,110
84,11,Buijs Anne,NED,0,0,16,0.0,0.0,16
85,16,Baijens Indy,NED,0,1,1,0.0,0.0,2
86,18,Jasper Marrit,NED,0,0,9,0.0,0.0,9
87,19,Daalderop Nika,NED,0,0,19,0.0,0.0,19
88,23,Timmerman Eline,NED,0,0,17,0.0,0.0,17
89,24,de Zwart Laura,NED,0,0,0,,,0
90,26,Dambrink Elles,NED,0,1,6,0.0,0.0,7
91,27,Scholten Iris,NED,0,0,6,0.0,0.0,6
92,3,Herbots Britt,BEL,0,0,34,0.0,0.0,34
93,5,Guilliams Jodie,BEL,0,2,18,0.0,0.0,20
94,6,Gilson Helena,BEL,0,0,2,0.0,0.0,2
95,7,Van Gestel Celine,BEL,0,0,23,0.0,0.0,23
96,9,Demeyer Nel,BEL,0,1,16,0.0,0.0,17
97,10,Sobolska Dominika,BEL,0,1,3,0.0,0.0,4
98,14,De Valkeneer Lise,BEL,0,0,1,0.0,0.0,1
99,19,Van Avermaet Silke,BEL,0,0,10,0.0,0.0,10
100,21,Stragier Manon,BEL,0,0,3,0.0,0.0,3
101,4,Senoglu Tugba,TUR,0,0,6,0.0,0.0,6
102,5,Ercan Seyma,TUR,0,0,4,0.0,0.0,4
103,6,Caliskan Kubra,TUR,0,0,14,0.0,0.0,14
104,7,Baladin Hande,TUR,0,0,16,0.0,0.0,16
105,8,Guveli Yasemin,TUR,0,0,1,0.0,0.0,1
106,9,Ismailoglu Meliha,TUR,0,0,19,0.0,0.0,19
107,10,Aykac Ayca,TUR,0,0,16,0.0,0.0,16
108,14,Erdem Dündar Eda,TUR,0,1,32,0.0,0.0,33
109,19,Kalac Asli,TUR,0,0,3,0.0,0.0,3
110,3,Caric Sara,SRB,0,0,15,0.0,0.0,15
111,6,Uzelac Aleksandra,SRB,0,1,9,0.0,0.0,10
112,21,Kocic Jovana,SRB,0,0,16,0.0,0.0,16
113,22,Lozo Sara,SRB,0,0,45,0.0,0.0,45
114,24,Medic Sofija,SRB,0,0,7,0.0,0.0,7
115,25,Markovic Bozica,SRB,0,0,3,0.0,0.0,3
116,26,Savic Vanja,SRB,0,0,4,0.0,0.0,4
117,28,Delic Jelena,SRB,0,0,3,0.0,0.0,3
118,31,Djurdjevic Sanja,SRB,0,0,60,0.0,0.0,60
119,32,Gocanin Bojana,SRB,0,1,34,0.0,0.0,35
120,34,Mirosavljevic Jovana,SRB,0,0,16,0.0,0.0,16
121,1,Bock Linda,GER,0,0,7,0.0,0.0,7
122,5,Poll Jana Franziska,GER,0,0,5,0.0,0.0,5
123,6,Janiska Jennifer,GER,0,0,2,0.0,0.0,2
124,7,Vanjak Ivana,GER,0,0,2,0.0,0.0,2
125,12,Orthmann Hanna,GER,0,2,9,0.0,0.0,11
126,14,Schölzel Marie,GER,0,1,10,0.0,0.0,11
127,16,Ambrosius Lea,GER,0,0,1,0.0,0.0,1
128,20,Bock Josepha,GER,0,0,0,,,0
129,2,Malygina Daria,RUS,0,0,1,0.0,0.0,1
130,4,Pilipenko Daria,RUS,0,0,60,0.0,0.0,60
131,5,Fedorovtseva Arina,RUS,0,2,16,0.0,0.0,18
132,6,Koroleva Irina,RUS,0,1,10,0.0,0.0,11
133,8,Goncharova Nataliya,RUS,0,1,21,0.0,0.0,22
134,11,Brovkina Yulia,RUS,0,0,4,0.0,0.0,4
135,14,Fetisova Irina,RUS,0,1,20,0.0,0.0,21
136,15,Kosheleva Tatyana,RUS,0,1,7,0.0,0.0,8
137,16,Voronkova Irina,RUS,0,0,20,0.0,0.0,20
138,22,Zaytseva Tamara,RUS,0,0,19,0.0,0.0,19
139,23,Kapustina Irina,RUS,0,1,2,0.0,0.0,3
140,25,Smirnova Kseniia,RUS,0,1,3,0.0,0.0,4
141,2,Koga Sarina,JPN,0,0,25,0.0,0.0,25
142,5,Araki Erika,JPN,0,1,14,0.0,0.0,15
143,7,Ishii Yuki,JPN,0,0,8,0.0,0.0,8
144,8,Ishikawa Mayu,JPN,0,0,29,0.0,0.0,29
145,13,Okumura Mai,JPN,0,0,5,0.0,0.0,5
146,15,Inoue Kotoe,JPN,0,0,46,0.0,0.0,46
147,19,Yamada Nichika,JPN,0,0,2,0.0,0.0,2
148,21,Hayashi Kotona,JPN,0,0,6,0.0,0.0,6
149,2,Pannoy Piyanut,THA,0,0,85,0.0,0.0,85
150,5,Thinkaow Pleumjit,THA,0,1,32,0.0,0.0,33
151,8,Sang-Ob Tirawan,THA,0,0,0,,,0
152,9,Chuewulim Sutadta,THA,0,0,18,0.0,0.0,18
153,10,Apinyapong Wilavan,THA,0,0,26,0.0,0.0,26
154,11,Hyapha Amporn,THA,0,0,6,0.0,0.0,6
155,12,Chaisri Tapaphaipun,THA,0,0,18,0.0,0.0,18
156,14,Juangjan Pattiya,THA,0,0,1,0.0,0.0,1
157,19,Krause Karina,THA,0,1,11,0.0,0.0,12
158,24,Nuanjam Watchareeya,THA,0,0,2,0.0,0.0,2
159,5,Gao Yi,CHN,0,0,3,0.0,0.0,3
160,7,Wang Yuanyuan,CHN,0,0,13,0.0,0.0,13
161,8,Li Yao,CHN,0,1,18,0.0,0.0,19
162,9,Zhang Changning,CHN,0,0,20,0.0,0.0,20
163,10,Liu Xiaotong,CHN,0,0,11,0.0,0.0,11
164,14,Zheng Yixin,CHN,0,0,0,,,0
165,19,Liu Yanhan,CHN,0,1,4,0.0,0.0,5
166,22,Duan Fang,CHN,0,0,6,0.0,0.0,6
167,1,Lee Soyoung,KOR,0,0,18,0.0,0.0,18
168,2,Lee Dahyeon,KOR,0,0,6,0.0,0.0,6
169,5,Han Dahye,KOR,0,0,14,0.0,0.0,14
170,8,Park Eunjin,KOR,0,0,13,0.0,0.0,13
171,10,Kim Yeon Koung,KOR,0,1,71,0.0,0.0,72
172,12,Han Songyi,KOR,0,1,5,0.0,0.0,6
173,14,Yang Hyo Jin,KOR,0,0,19,0.0,0.0,19
174,15,Yuk Seoyoung,KOR,0,0,0,,,0
175,16,Jeong Jiyun,KOR,0,0,23,0.0,0.0,23
176,19,Pyo Seungju,KOR,0,0,3,0.0,0.0,3
177,1,Vargas Valdez Annerys Victoria,DOM,0,0,3,0.0,0.0,3
178,3,Eve Mejia Lisvel Elisa,DOM,0,0,4,0.0,0.0,4
179,11,Rodriguez Marifranchi,DOM,0,0,3,0.0,0.0,3
180,14,Rivera Brens Prisilla,DOM,0,0,15,0.0,0.0,15
